index,caseID,filename
140,1379,Copy of 1379 GEN_MC_1379_Video_Recording_A_edited.srt.txt
141,797,Copy of 797 MATH EA 797 edited.srt.txt
142,806,Copy of 806 MATH EA 806 edited.srt.txt
143,006,Copy of 006 ARTEAYA006.srt.txt
144,840,Copy of 840 SCI EA 840 edited.srt.txt
145,1080,Copy of 1080 SCI AYA 1080edited.srt.txt
146,207,Copy of 207 LRLA EMC 207edited.srt.txt
147,164,Copy of 164 GEN MC 164 edited.srt.txt
148,302 ,Copy of 302A SCI EA 302 A edited.srt.txt
149,289,Copy of 289 SCI EA 289 edited.srt.txt
150,1846,Copy of 1846 SCI_EA_1846_Video_Recording_A_edited.srt.txt
151,043,Copy of 043 GENMC043.srt.txt
152,828,Copy of 828 SCI EA 828 edited.srt.txt
153,094,Copy of 094 SCIEA094.srt.txt
154,087,Copy of 087 ARTEMC087.srt.txt
155,838,Copy of 838 SCI EA 838 edited.srt.txt
156,113,Copy of 113 ENL EMC 113edited.srt.txt
157,029 ,Copy of 029A LM ECYA 029 A.srt.txt
158,102 ,Copy of 102B PE EAYA 102 B.srt.txt
159,1373,Copy of 1373 GEN_EC_1373_Video_Recording_A_edited.srt.txt
160,116,Copy of 116 ART EAYA 116.srt.txt
161,1365,Copy of 1365 GEN_EC_1365_Video_Recording_A_edited.srt.txt
162,045,Copy of 045 GENMC045.srt.txt
163,1033,Copy of 1033 SCI AYA 1033.srt.txt
164,073,Copy of 073 SCI AYA 073.srt.txt
165,065 ,Copy of 065A MUSIC EAYA 065 A.srt.txt
166,028,Copy of 028 PE EMC 028edited.srt.txt
167,280,Copy of 280 MATH AYA 280edited.srt.txt
168,1072,Copy of 1072 SCI AYA 1072edited.srt.txt
169,297,Copy of 297 MATH EA 297 edited.srt.txt
170,1362,Copy of 1362 GEN_EC_1362_Video_Recording_A_edited.srt.txt
171,293,Copy of 293 SCI EA 293 edited.srt.txt
172,009,Copy of 009 LRLAEMC009.srt.txt
173,099,Copy of 099 ELA EA 099 edited.srt.txt
174,102 ,Copy of 102A PE EAYA 102A edited.srt.txt
175,151 ,Copy of 151A ART EMC 151A edited.srt.txt
176,1838,Copy of 1838 SCI_EA_1838_Video_Recording_A_edited.srt.txt
177,192,Copy of 192 ENL EAYA 192.srt.txt
178,022,Copy of 022 ELAAYA022.srt.txt
179,033,Copy of 033 ENS ECYA 033 edited.srt.txt
180,052,Copy of 052 ELA AYA 052edited.srt.txt
181,285 ,Copy of 285A SCI EA 285 Aedited.srt.txt
182,194,Copy of 194 GEN MC 194edited.srt.txt
183,1049,Copy of 1049 SCI AYA 1049edited.srt.txt
184,074 ,Copy of 074B ENL EMC 074B edited.srt.txt
185,459,Copy of 459 GEN EC 459 edited.srt.txt
186,107,Copy of 107 CTE EAYA 107.srt.txt
187,012 ,Copy of 012A PE EAYA 012Aedited.srt.txt
188,163,Copy of 163 HE EAYA 163.srt.txt
189,837,Copy of 837 SCI EA 837 edited.srt.txt
190,086,Copy of 086 SSH AYA 086.srt.txt
191,608,Copy of 608 GEN MC 608edited.srt.txt
192,1372,Copy of 1372 GEN_EC_1372_Video_Recording_A_edited.srt.txt
193,1022,Copy of 1022 SCI AYA 1022 edited.srt.txt
194,1364,Copy of 1364 GEN_EC_1364_Video_Recording_A_edited.srt.txt
195,1008,Copy of 1008 MATH AYA 1008edited.srt.txt
196,201,Copy of 201 ELA AYA 201edited.srt.txt
197,115,Copy of 115 ENS ECYA 115edited.srt.txt
198,108 ,Copy of 108C ART EAYA 108 C.srt.txt
199,262 ,Copy of 262B SCI EA 262 Bedited.srt.txt
200,132,Copy of 132 ART EAYA 132edited.srt.txt
201,070 ,Copy of 070B MUSIC EMC 070 B.srt.txt
202,1062,Copy of 1062 SCI AYA 1062edited.srt.txt
203,218,Copy of 218 LRLA EMC 218edited.srt.txt
204,994,Copy of 994 MATH AYA 994 edited.srt.txt
205,158,Copy of 158 SSH EA 158 edited.srt.txt
206,004 ,Copy of 004B MUSICEAYA004B.srt.txt
207,238,Copy of 238 MATH EA 238 edited.srt.txt
208,796,Copy of 796 MATH EA 796 edited.srt.txt
209,621,Copy of 621 GEN MC 621 edited.srt.txt
210,990,Copy of 990 MATH AYA 990 edited.srt.txt
211,611,Copy of 611 GEN MC 611 edited.srt.txt
212,060,Copy of 060 SSH EA 060 edited.srt.txt
213,268,Copy of 268 MATH AYA 268edited.srt.txt
214,274 ,Copy of 274B SCI EA 274 Bedited.srt.txt
215,195,Copy of 195 SSH AYA 195edited.srt.txt
216,1060,Copy of 1060 SCI AYA 1060edited.srt.txt
217,041,Copy of 041 SCECYA041.srt.txt
218,196,Copy of 196 MATH AYA 196edited.srt.txt
219,340,Copy of 340 MATH AYA 340 edited.srt.txt
220,188,Copy of 188 ELA AYA 188 edited.srt.txt
221,076,Copy of 076 GEN EC 076 edited.srt.txt
222,173,Copy of 173 GEN EC 173 edited.srt.txt
223,198,Copy of 198 ELA AYA 198edited.srt.txt
224,217,Copy of 217 MATH EA 217edited.srt.txt
225,108 ,Copy of 108A ART EAYA 108 A.srt.txt
226,070 ,Copy of 070A MUSIC EMC 070 A.srt.txt
227,603,Copy of 603 GEN MC 603edited.srt.txt
